Firm,Product,Complaints per 1000,Upheld%,Closed 8 weeks+%,FOS Upheld%,FOS cases per 1m
BARCLAYS PLC,Banking and credit cards,3.81,0.77,0.09,0.28,123.08
LLOYDS BANKING GROUP PLC,Banking and credit cards,2.04,0.67,0.11,0.28,187.28
THE ROYAL BANK OF SCOTLAND GROUP,Banking and credit cards,2.83,0.61,0.05,0.32,94.57
NATIONWIDE BUILDING SOCIETY,Banking and credit cards,2.30,0.57,0.04,0.25,39.21
HSBC HOLDINGS PLC,Banking and credit cards,2.81,0.60,0.00,0.28,97.91
BANCO SANTANDER SA,Banking and credit cards,2.34,0.47,0.02,0.31,255.27
MONZO BANK LIMITED,Banking and credit cards,2.31,0.30,0.08,0.35,184.62
TSB BANKING GROUP,Banking and credit cards,3.07,0.56,0.02,0.24,92.51
CAPITAL ONE FINANCIAL CORP,Banking and credit cards,4.55,0.33,0.02,0.22,211.65
STARLING BANK LIMITED,Banking and credit cards,4.52,0.37,0.00,0.21,141.89
AMERICAN EXPRESS,Banking and credit cards,4.07,0.34,0.00,0.33,278.89
JPMORGAN CHASE & CO,Banking and credit cards,1.37,0.47,0.00,0.30,47.61
METRO BANK PLC,Banking and credit cards,3.45,0.45,0.00,0.31,151.55
CO-OPERATIVE GROUP LIMITED,Banking and credit cards,2.62,0.68,0.04,0.40,85.59
J SAINSBURY PLC,Banking and credit cards,1.83,0.37,0.01,0.24,68.91
SKIPTON BUILDING SOCIETY,Banking and credit cards,2.81,0.81,0.09,0.25,34.38
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
